id,name,subject,examRounds,officialLarge,officialMedium,officialSmall,normalizedTheme,aliases,relatedThemes,studyPoint,blueprintVersion,questionCountMode,sourceReliability,sourceUrl
ki-ketsu-shin-eki,気血津液,oriental-overview,29|30|31|32|33,生理,気血津液,気血津液の生成・運行・機能・病変,気血津液,気血水,in-yo-ron|zo-sho,気の種類（元気・宗気・営気・衛気）と機能。血・津液の病変（気虚・血瘀・痰飲等）まで整理。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
zo-sho,蔵象,oriental-overview,29|30|31|32|33|34,生理,蔵象学説,五臓六腑の機能と相互関係,蔵象学説,蔵象学説|五臓六腑,go-gyo-ron|ki-ketsu-shin-eki|roku-in,五臓の機能と病変・六腑との表裏関係・奇恒の腑を徹底理解。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
roku-in,六淫,oriental-overview,29|30|31|33,病因病機,外因,六淫の概念・性質・致病特徴,病因論,六邪|六気,shichi-jo|zo-sho,風・寒・暑・湿・燥・火の性質と侵す臓腑・症状を対応表で整理。「風は百病の長」も頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
shichi-jo,七情,oriental-overview,30|31|32|34,病因病機,内因,七情の概念と五臓への影響,病因論,,roku-in|zo-sho,喜（心）・怒（肝）・思（脾）・憂（肺）・恐（腎）と五臓の対応を暗記。過度になると気機を乱す。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
toyo-rekishi,東洋医学の歴史,oriental-overview,29|31|33,東洋医学の基礎理論,東洋医学の歴史,主要な医学書と医家,東洋医学の歴史,,in-yo-ron|go-gyo-ron,黄帝内経・難経・傷寒論・神農本草経の成立年代と内容概要を把握。重要医家と著作の対応を整理。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kenko-nihon-21,健康日本21,hygiene,29|30|31|32|33|34,健康増進,健康づくり対策,健康日本21（各次）の目標と評価,健康増進政策,健康日本21（第三次）|健康増進計画,seikatsu-shukan-byo,健康日本21の各次の期間・目標を整理。数値目標（BMI・歩数・飲酒量等）が頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kansen-sho,感染症,hygiene,29|30|31|32|33,感染症,感染症の予防と対策,感染症法による分類・届出・対応,感染症対策,感染症法|新興感染症|再興感染症,seikatsu-shukan-byo|menekigaku,感染症法の1〜5類分類と届出期限を表で整理。院内感染対策・標準予防策も出題。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
seikatsu-shukan-byo,生活習慣病,hygiene,29|30|31|32|33|34,疾病の予防,生活習慣病,メタボリックシンドロームと特定健診・特定保健指導,生活習慣病対策,メタボリックシンドローム|特定健診,kenko-nihon-21,メタボリックシンドロームの診断基準（腹囲・血圧・血糖・脂質）の数値を暗記。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kin-kishi-teishi,筋の起始停止,anatomy,29|30|31|32|33|34,筋系,全身の骨格筋,各筋の起始・停止・作用・支配神経,筋系,,kansetsu-kozo|no-shinkei,上肢・下肢・体幹の主要な筋の起始・停止・作用を解剖図と照合しながら暗記。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
no-shinkei,脳神経,anatomy,29|30|31|32|34,神経系,末梢神経系,脳神経（12対）の名称・番号・機能分類,神経系,12脳神経|脳神経12対,jiritsu-shinkei|kin-kishi-teishi,Ⅰ嗅〜Ⅻ舌下神経の名称・番号・機能種別を表で暗記。顔面神経・迷走神経が頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kansetsu-kozo,関節の構造,anatomy,29|30|31|33,骨格系,関節,関節の種類・構造・可動性,骨格系,,kin-kishi-teishi,単軸・二軸・多軸関節の種類と代表的な関節を整理。靭帯と可動域の方向も頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
jiritsu-shinkei,自律神経,physiology,29|30|31|32|33,神経系の機能,自律神経系,交感神経・副交感神経の作用比較,自律神経系,,no-shinkei|junkan-kino,交感神経と副交感神経の各臓器への作用を比較表で整理（瞳孔・心拍・血管・消化・膀胱等）。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
junkan-kino,循環機能,physiology,29|30|32|34,循環機能,心臓の機能と血液循環,心臓の構造・刺激伝導系・体循環と肺循環,循環器系,,jiritsu-shinkei,刺激伝導系と体循環・肺循環の流れを暗記。心拍出量・血圧調節メカニズムも整理。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kanke-hokki,関係法規,regulations,29|30|31|32|33|34,関係法規,あはき法（あん摩マッサージ指圧師・はり師・きゅう師等に関する法律）,業務範囲・免許・施術所の管理・広告規制・罰則,あはき法,あはき法|あん摩法,,業務独占と名称独占・免許要件・施術所届出・広告規制が頻出。6年連続出題。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
hari-risk-kanri,鍼のリスク管理,acupuncture-theory,29|30|31|32|33,リスク管理,鍼療法の医療過誤と副作用,折鍼・内出血・神経損傷・気胸・感染の原因と対応,リスク管理,,hari-shigeki-ryo|kyu-fukusayo,折鍼・内出血・神経損傷・気胸・感染の原因・予防・対応を整理。消毒法・禁鍼部位も確認。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
hari-shigeki-ryo,鍼の刺激量,acupuncture-theory,29|31|32|33,鍼の操作,刺激の調節,刺激量を構成する要素と補瀉法,鍼操作,,hari-risk-kanri,鍼の太さ・長さ・刺入深度・手技・留針時間による刺激量調節と補瀉の原則を理解。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kyu-fukusayo,灸の副作用,moxibustion-theory,29|31|32|33,リスク管理,灸療法の医療過誤と副作用,施灸による熱傷と禁灸部位,リスク管理,,hari-risk-kanri,熱傷の深度（Ⅰ〜Ⅲ度）の判別と処置・禁灸部位・施灸量の調節を整理。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
ben-sho-ron-chi,弁証論治,oriental-clinical,29|30|31|32|33|34,弁証論治,八綱弁証,陰陽・表裏・寒熱・虚実の弁別と治則,弁証論治,八綱弁証|証,kei-myaku-byo-sho|in-yo-ron|zo-sho,八綱弁証が最頻出。各弁証の症候を対比表で整理。臓腑弁証・経絡弁証の概要も把握。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kei-myaku-byo-sho,経絡病証,oriental-clinical,29|30|32|33,弁証論治,経絡弁証,十二経脈の病証（是動病・所生病）,弁証論治,是動病|所生病,ben-sho-ron-chi|juni-kei-myaku,霊枢「経脈篇」の是動病・所生病の概念を理解。各経脈の病証パターンを整理。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
menekigaku,免疫学,clinical-general,29|30|32|33,疾患の成立と生体反応,免疫機構,自然免疫・獲得免疫・アレルギー・自己免疫疾患,免疫学,,kansen-sho,自然免疫・獲得免疫の役割。アレルギーの分類（Ⅰ〜Ⅳ型）と代表疾患を対応付けて暗記。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
