id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
32-011,32,2024,11,共通,関係法規,専門基礎科目,関係法規,施術所の構造設備基準,hari-kyu-law,外気開放・面積基準,,施術室外気開放は面積の1/8以上（9分の1は誤り）。施術室6.6㎡以上・待合室3.3㎡以上,,indexed_official,2020,180,
32-012,32,2024,12,共通,関係法規,専門基礎科目,関係法規,施術所の広告規制,hari-kyu-law,広告できる施術方法,,広告できる施術方法：小児鍼・指圧等の法定記載事項。美容鍼・中国鍼・電気鍼の名称での広告は不可,,indexed_official,2020,180,
32-013,32,2024,13,共通,関係法規,専門基礎科目,関係法規,申請・届出の期限,hari-kyu-law,免許証返納期限,,免許取消・業務停止時の免許証返納は5日以内。氏名変更再交付申請は30日以内。業務開始届出は10日以内,,indexed_official,2020,180,
32-014,32,2024,14,共通,関係法規,専門基礎科目,関係法規,施術所の法的規制,hari-kyu-law,施術所の名称と医療法,,施術所に「病院」「クリニック」等の名称を使用すると医療法違反。医療法が施術所の名称規制に適用される,,indexed_official,2020,180,
32-015,32,2024,15,共通,解剖学,専門基礎科目,解剖学,脊柱の靭帯,musculoskeletal-system,脊髄と靭帯の位置関係,,脊髄背側に最も近いのは黄色靱帯。後縦靱帯は椎体後面（脊髄前方）。棘上・棘間靱帯は後方だが黄色靱帯より遠い,,indexed_official,2020,180,
32-016,32,2024,16,共通,解剖学,専門基礎科目,解剖学,骨盤の解剖,musculoskeletal-system,骨盤分界線の構成,,骨盤分界線＝岬角・弓状線・恥骨稜・恥骨結合上縁。坐骨棘・坐骨結節・上前腸骨棘は分界線を構成しない,,indexed_official,2020,180,
32-017,32,2024,17,共通,解剖学,専門基礎科目,解剖学,前腕筋,musculoskeletal-system,橈側手根屈筋の起始,,橈側手根屈筋の起始：上腕骨内側上顆。円回内筋は正中神経が貫く（橈骨神経でない）。尺側手根屈筋は尺骨神経支配,,indexed_official,2020,180,
32-018,32,2024,18,共通,解剖学,専門基礎科目,解剖学,心臓の解剖,circulatory-system,冠状静脈洞,,冠状静脈洞は右心房に注ぐ（正しい）。心尖は第5肋間。動脈弁には腱索なし（房室弁に腱索あり）,,indexed_official,2020,180,
32-019,32,2024,19,共通,解剖学,専門基礎科目,解剖学,口腔・唾液腺,visceral-anatomy,耳下腺管の開口部,,耳下腺管（ステノン管）は口腔前庭（頬粘膜）に開口。内舌筋は舌下神経支配。舌扁桃は舌根部,,indexed_official,2020,180,
32-020,32,2024,20,共通,解剖学,専門基礎科目,解剖学,消化管の解剖,visceral-anatomy,上行結腸の腹膜垂,,腹膜垂（脂肪垂）は大腸外面のひだ。腸間膜・腸絨毛・パイエル板は小腸。腹膜垂は大腸の特徴,,indexed_official,2020,180,
32-021,32,2024,21,共通,解剖学,専門基礎科目,解剖学,脳の被膜・硬膜,nervous-system,小脳テントと髄膜,,小脳テントは大脳後頭葉と小脳の境（正しい）。脳実質に最近位は軟膜（クモ膜でない）。硬膜静脈洞は内頸静脈へ,,indexed_official,2020,180,
32-022,32,2024,22,共通,解剖学,専門基礎科目,解剖学,腕神経叢,nervous-system,後神経束からの分枝,,後神経束の分枝：腋窩神経・橈骨神経・胸背神経（広背筋支配）。肩甲上・肩甲背・長胸神経は後神経束からでない,,indexed_official,2020,180,
32-023,32,2024,23,共通,解剖学,専門基礎科目,解剖学,感覚路・味覚,nervous-system,味覚の中継核,,味覚の中継は孤束核（延髄）。舌前2/3の味覚は顔面神経（鼓索神経）。舌後1/3は舌咽神経。糸状乳頭に味蕾なし,,indexed_official,2020,180,
32-024,32,2024,24,共通,生理学,専門基礎科目,生理学,細胞生物学・核酸,metabolic-physiology,核酸の機能,,mRNA・tRNA・rRNAはタンパク質合成に必要。DNAは4種塩基（A・T・G・C）。RNAはウラシルを含む,,indexed_official,2020,180,
32-025,32,2024,25,共通,生理学,専門基礎科目,生理学,血液生理,cardiovascular-physiology,赤血球の特徴,,赤血球は低張液（蒸留水）で溶血。骨髄で産生。無核細胞。寿命約120日。腎臓はエリスロポエチンを産生,,indexed_official,2020,180,
32-026,32,2024,26,共通,生理学,専門基礎科目,生理学,呼吸調節,respiratory-physiology,呼吸運動の促進因子,,体液pH低下（CO₂増加）→呼吸促進。O₂分圧低下も促進。浸透圧上昇は呼吸に直接影響しない,,indexed_official,2020,180,
32-027,32,2024,27,共通,生理学,専門基礎科目,生理学,体温調節,metabolic-physiology,放熱のメカニズム,,放熱促進：皮膚血管拡張・発汗。放熱抑制：立毛筋収縮・皮膚血管収縮。甲状腺ホルモン・骨格筋収縮は産熱促進,,indexed_official,2020,180,
32-028,32,2024,28,共通,生理学,専門基礎科目,生理学,下垂体ホルモン,endocrine-physiology,プロラクチンの作用,,プロラクチン：下垂体前葉から分泌。乳汁産生促進。排卵は抑制（授乳中無排卵）。ペプチドホルモン（ステロイドでない）,,indexed_official,2020,180,
32-029,32,2024,29,共通,生理学,専門基礎科目,生理学,自律神経生理,neurophysiology,副交感神経の作用,,副交感神経：直腸収縮（排便促進）・膀胱収縮・気管支収縮・心拍数減少。発汗促進は交感神経,,indexed_official,2020,180,
32-030,32,2024,30,共通,生理学,専門基礎科目,生理学,筋収縮機序,neurophysiology,骨格筋収縮のメカニズム,,骨格筋収縮：筋小胞体からCa²⁺放出→トロポニンCに結合→アクチン・ミオシン相互作用→収縮。ATPを使用,,indexed_official,2020,180,
32-031,32,2024,31,共通,生理学,専門基礎科目,生理学,脊髄反射,neurophysiology,脊髄に反射中枢がある反射,,脊髄レベルの反射：屈曲反射・伸張反射・腱反射。嚥下反射（延髄）・立ち直り反射・緊張性頸反射（脳幹）は上位,,indexed_official,2020,180,
32-032,32,2024,32,共通,生理学,専門基礎科目,生理学,感覚の中継・視床,neurophysiology,外側膝状体で中継される感覚,,外側膝状体（視床）は視覚の中継。内側膝状体は聴覚の中継。嗅覚は視床を中継しない（辺縁系へ直接）,,indexed_official,2020,180,
32-033,32,2024,33,共通,病理学概論,専門基礎科目,病理学概論,細胞老化,general-pathology,細胞老化の変化,,細胞老化では分裂能力は低下（ヘイフリック限界）。DNA修復機能低下・蛋白質合成低下・異常蛋白質蓄積は正しい老化変化,,indexed_official,2020,180,
32-034,32,2024,34,共通,病理学概論,専門基礎科目,病理学概論,疾患の性差,general-pathology,女性に多い疾患,,橋本病（慢性甲状腺炎）は自己免疫疾患で女性に圧倒的に多い。痛風・COPD・十二指腸潰瘍は男性に多い,,indexed_official,2020,180,
32-035,32,2024,35,共通,病理学概論,専門基礎科目,病理学概論,代謝異常・沈着物,general-pathology,疾患と沈着物の対応,,粥状動脈硬化症→コレステロール沈着。痛風→尿酸（シュウ酸でない）。黄疸→ビリルビン（ヘモジデリンでない）,,indexed_official,2020,180,
32-036,32,2024,36,共通,病理学概論,専門基礎科目,病理学概論,炎症の種類,general-pathology,線維素性炎,,線維素性炎（フィブリン滲出）：大葉性肺炎・偽膜性腸炎。化膿性炎：急性虫垂炎。肉芽腫性炎：ハンセン病・結核,,indexed_official,2020,180,
32-037,32,2024,37,共通,病理学概論,専門基礎科目,病理学概論,免疫・アレルギー,general-pathology,Th1細胞とアレルギー型,,Th1細胞→細胞性免疫→Ⅳ型アレルギー（遅延型：ツベルクリン反応・接触性皮膚炎）。Ⅰ型はIgE・肥満細胞,,indexed_official,2020,180,
32-038,32,2024,38,共通,病理学概論,専門基礎科目,病理学概論,腫瘍と感染,oncology,腫瘍と発がん微生物の対応,,肝細胞癌→HBV・HCV（サイトメガロウイルスは誤り）。子宮頸癌→HPV。バーキットリンパ腫→EBウイルス,,indexed_official,2020,180,
32-039,32,2024,39,共通,臨床医学総論,専門基礎科目,臨床医学総論,救急・蘇生法,clinical-general,胸骨圧迫の回数,,BLS胸骨圧迫：100〜120回/分。深さ約5cm（6cm超えない）。強く・速く・完全に戻す,,indexed_official,2020,180,
32-040,32,2024,40,共通,臨床医学各論,専門基礎科目,臨床医学各論,糖尿病の食事療法,endocrinology,適正エネルギー量の算出,,2型糖尿病の適正エネルギー量は目標体重(kg)×身体活動量で算出。体温・腹囲・体表面積は使用しない,,indexed_official,2020,180,
32-041,32,2024,41,共通,臨床医学総論,専門基礎科目,臨床医学総論,心臓聴診,clinical-general,大動脈弁の聴診部位,,大動脈弁（A2）：第2肋間胸骨右縁。肺動脈弁（P2）：第2肋間胸骨左縁。三尖弁：第4肋間胸骨左縁，僧帽弁：心尖部,,indexed_official,2020,180,
32-042,32,2024,42,共通,臨床医学各論,専門基礎科目,臨床医学各論,呼吸器疾患,pulmonology,呼吸音減弱と疾患,,呼吸音減弱：無気肺（気道閉塞）・気胸・胸水・COPD（肺気腫）。肺線維症・気管支炎は減弱でない,,indexed_official,2020,180,
32-043,32,2024,43,共通,臨床医学総論,専門基礎科目,臨床医学総論,画像診断,clinical-general,放射線被曝のない検査,,放射線被曝なし：MRI・超音波。被曝あり：X線・CT・PET・シンチグラフィ（RI使用）,,indexed_official,2020,180,
32-044,32,2024,44,共通,臨床医学各論,専門基礎科目,臨床医学各論,縦隔腫瘍・神経症状,neurology,ホルネル症候群,,ホルネル症候群（眼瞼下垂・縮瞳・眼球陥没）＝頸部交感神経障害。縦隔腫瘍が圧迫して発症,,indexed_official,2020,180,
32-045,32,2024,45,共通,臨床医学各論,専門基礎科目,臨床医学各論,意識障害,neurology,せん妄の特徴,,せん妄：意識変容（認識減退＋不安・興奮・幻覚）。傾眠は軽度意識低下。昏迷は刺激に最小限反応。無欲状態は意欲減退,,indexed_official,2020,180,
32-046,32,2024,46,共通,臨床医学各論,専門基礎科目,臨床医学各論,尿量異常,nephrology,無尿の定義,,無尿：100mL/日以下。乏尿：400mL/日以下。尿閉：膀胱内に尿貯留（排尿不能）。,,indexed_official,2020,180,
32-047,32,2024,47,共通,臨床医学各論,専門基礎科目,臨床医学各論,整形外科徒手検査,orthopedics,股関節屈曲拘縮の検査,,トーマステスト：股関節屈曲拘縮の確認。ボンネットテスト：梨状筋症候群。パトリックテスト：股関節・仙腸関節。マクマレーテスト：膝半月板,,indexed_official,2020,180,
32-048,32,2024,48,共通,臨床医学各論,専門基礎科目,臨床医学各論,貧血の症状,hematology,鉄欠乏性貧血の症状,,鉄欠乏性貧血：スプーン状爪（匙状爪）・口角炎・舌炎。ばち指＝慢性低酸素。ハンター舌炎＝悪性貧血（B12欠乏）,,indexed_official,2020,180,
32-049,32,2024,49,共通,臨床医学各論,専門基礎科目,臨床医学各論,感染症対策,infectious-disease-control,ノロウイルスの消毒,,ノロウイルス消毒：次亜塩素酸ナトリウム。アルコールは効果不十分。吐物は乾燥前に除去。リネンは85℃以上1分または次亜塩素酸,,indexed_official,2020,180,
32-050,32,2024,50,共通,臨床医学各論,専門基礎科目,臨床医学各論,認知症・変性疾患,neurology,アルツハイマー病の病態,,アルツハイマー病：アミロイドβ・タウ蛋白質が蓄積。初期から近時記憶障害あり。MRIで海馬・側頭葉萎縮（前頭葉でない）,,indexed_official,2020,180,
32-051,32,2024,51,共通,臨床医学各論,専門基礎科目,臨床医学各論,末梢神経疾患,neurology,ギラン・バレー症候群,,ギラン・バレー症候群：先行感染（カンピロバクター等）後に発症。急性炎症性脱髄性多発ニューロパチー。末梢神経が病因,,indexed_official,2020,180,
32-052,32,2024,52,共通,臨床医学各論,専門基礎科目,臨床医学各論,感染症・発疹,infectious-disease,水痘の皮疹特徴,,水痘（VZV）：紅斑→丘疹→水疱→膿疱→痂皮の順。全身散在で各ステージ混在。耳下腺腫脹＝流行性耳下腺炎,,indexed_official,2020,180,
32-053,32,2024,53,共通,臨床医学各論,専門基礎科目,臨床医学各論,血液疾患・白血病,hematology,急性骨髄性白血病の特徴,,AML：幼若芽球（骨髄芽球等）が骨髄で増殖。成人に多い。ミエロペルオキシダーゼ染色陽性（AML鑑別に重要）,,indexed_official,2020,180,
32-054,32,2024,54,共通,臨床医学各論,専門基礎科目,臨床医学各論,呼吸器疾患,pulmonology,気管支拡張症の特徴,,気管支拡張症：気道変化は非可逆性。肺炎・結核等の既往が多い。大量喀血・膿性痰が特徴。長期抗菌薬投与,,indexed_official,2020,180,
32-055,32,2024,55,共通,臨床医学各論,専門基礎科目,臨床医学各論,感染症・肺結核,infectious-disease,肺結核の感染経路,,肺結核：空気感染（飛沫核感染）。治療は3〜4剤の多剤併用（単剤は耐性化）。感染者の約10%が生涯で発病,,indexed_official,2020,180,
32-056,32,2024,56,共通,臨床医学各論,専門基礎科目,臨床医学各論,鉄欠乏性貧血,hematology,鉄欠乏性貧血の検査所見,,鉄欠乏性貧血：小球性低色素性貧血。総鉄結合能（TIBC）は上昇（低下でない）。鉄剤投与後に網状赤血球増加（治療効果の指標）,,indexed_official,2020,180,
32-057,32,2024,57,共通,臨床医学各論,専門基礎科目,臨床医学各論,出血性疾患,hematology,ITPと出血性素因,,ITP：血小板に対するIgG自己抗体による自己免疫疾患。一次血栓は血小板凝集（フィブリンは二次止血）。凝固にビタミンK（ビタミンCでない）,,indexed_official,2020,180,
32-058,32,2024,58,共通,臨床医学各論,専門基礎科目,臨床医学各論,腎疾患,nephrology,ネフローゼ症候群,,ネフローゼ症候群：大量尿蛋白・低蛋白血症・浮腫・高コレステロール。小児では微小変化型が多く予後良好,,indexed_official,2020,180,
32-059,32,2024,59,共通,臨床医学各論,専門基礎科目,臨床医学各論,ビタミン欠乏症,neurology,ビタミンB1欠乏症,,B1（チアミン）欠乏：脚気（多発性末梢神経障害・心不全）・ウェルニッケ脳症。ペラグラ＝B3欠乏。巨赤芽球性貧血＝B12・葉酸欠乏,,indexed_official,2020,180,
32-060,32,2024,60,共通,臨床医学各論,専門基礎科目,臨床医学各論,不整脈・救急,cardiology,AEDの適応不整脈,,AED適応：心室細動・無脈性心室頻拍（ショック可能リズム）。心房細動・心室性期外収縮は除細動適応外,,indexed_official,2020,180,
32-061,32,2024,61,共通,臨床医学各論,専門基礎科目,臨床医学各論,心不全,cardiology,左心不全の身体所見,,左心不全：肺うっ血→起坐呼吸・肺水腫。右心不全：体静脈うっ血→腹水・下肢浮腫・肝腫大,,indexed_official,2020,180,
32-062,32,2024,62,共通,臨床医学各論,専門基礎科目,臨床医学各論,心筋梗塞の検査,cardiology,急性心筋梗塞の血液検査,,急性心筋梗塞：CK-MB・トロポニン・AST・LDHが上昇。ALT・GGT・ALPは肝臓主体,,indexed_official,2020,180,
32-063,32,2024,63,共通,臨床医学各論,専門基礎科目,臨床医学各論,腰椎神経根障害,orthopedics,L5神経根障害の所見,,L5障害：足背知覚障害・足関節背屈筋力低下・SLRテスト陽性。アキレス腱反射消失はS1（L5ではない）,,indexed_official,2020,180,
32-064,32,2024,64,共通,臨床医学各論,専門基礎科目,臨床医学各論,骨腫瘍,oncology,原発性悪性骨腫瘍の最多,,原発性悪性骨腫瘍の最多は骨肉腫（思春期・膝周囲に好発）。次いで軟骨肉腫（中高年）。転移性が全体では最多,,indexed_official,2020,180,
32-065,32,2024,65,共通,臨床医学各論,専門基礎科目,臨床医学各論,消化器疾患,gastroenterology,胃食道逆流症の機序,,GERD：一過性下部食道括約筋弛緩（TLESR）が主な機序。肥満者に好発（るいそうでない）。近年増加傾向。PPI有効,,indexed_official,2020,180,
32-066,32,2024,66,共通,臨床医学各論,専門基礎科目,臨床医学各論,ウイルス性肝炎,infectious-disease,肝炎ウイルスと感染経路,,B型肝炎：分娩時垂直感染・血液・性行為。A型・E型：糞口感染。C型：血液感染。E型は獣肉でなく汚染水,,indexed_official,2020,180,
32-067,32,2024,67,共通,臨床医学各論,専門基礎科目,臨床医学各論,消化器腫瘍,oncology,膵癌のリスクファクター,,膵癌リスク因子：糖尿病・慢性膵炎・喫煙・飲酒・家族歴。高血圧・脂質異常症・高尿酸血症は主要リスクでない,,indexed_official,2020,180,
32-068,32,2024,68,共通,臨床医学各論,専門基礎科目,臨床医学各論,精神疾患,neurology,パニック障害の症状,,パニック障害：パニック発作の反復＋予期不安＋広場恐怖の3主徴。妄想・幻聴・させられ体験は統合失調症,,indexed_official,2020,180,
32-069,32,2024,69,共通,臨床医学各論,専門基礎科目,臨床医学各論,眼科疾患,clinical-general,緑内障の病態,,緑内障：日本の失明原因第1位（成人）。眼圧上昇→視神経障害→視野欠損（周辺から）。白内障は水晶体混濁,,indexed_official,2020,180,
32-070,32,2024,70,共通,臨床医学各論,専門基礎科目,臨床医学各論,乳腺疾患,oncology,乳癌の特徴,,乳癌：多くはホルモン依存性（エストロゲン受容体陽性）。痛みを伴わないしこりが特徴。外上部に多い,,indexed_official,2020,180,
32-071,32,2024,71,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,介護保険制度,rehabilitation,介護保険サービスの種類,,通所リハビリテーション（デイケア）は介護保険サービス。生活介護・自立訓練・就労移行支援は障害福祉サービス（障害者総合支援法）,,indexed_official,2020,180,
32-072,32,2024,72,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,リハビリチームの役割,rehabilitation,医療ソーシャルワーカーの役割,,医療ソーシャルワーカー（MSW）：社会保険制度の利用調整・退院支援。ケアマネジャーは介護保険ケアプラン作成,,indexed_official,2020,180,
32-073,32,2024,73,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,脳卒中リハビリ,rehabilitation,ブルンストロームステージⅢ,,ブルンストロームステージⅢ：随意的に屈筋共同運動が最大限出現。Ⅱ＝連合反応・共同運動開始。Ⅳ＝一部共同運動から離脱,,indexed_official,2020,180,
32-074,32,2024,74,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,嚥下リハビリ,rehabilitation,直接嚥下訓練の担当職種,,直接嚥下訓練（実際に食物を使用）は言語聴覚士（ST）が中心。PTは歩行・運動。OTは上肢・ADL,,indexed_official,2020,180,
32-075,32,2024,75,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,歩行分析,rehabilitation,正常歩行の特徴,,正常歩行：1サイクル＝2歩（左右各1歩）。立脚相が遊脚相より長い（60%:40%）。二重支持期が0になると走行,,indexed_official,2020,180,
32-076,32,2024,76,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,筋緊張異常,neurology,痙縮が出現する疾患,,痙縮（上位運動ニューロン障害）：被殻出血・脳梗塞・脊髄損傷。ギラン・バレー・腕神経叢麻痺・多発性筋炎は弛緩性麻痺,,indexed_official,2020,180,
32-077,32,2024,77,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,脊髄損傷,rehabilitation,中心性頸髄損傷の特徴,,中心性頸髄損傷：上肢の障害が下肢より重度（上肢優位の麻痺）。横断型は上下肢均等。前脊髄動脈症候群は運動・痛覚優位障害,,indexed_official,2020,180,
32-078,32,2024,78,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,切断リハビリ,rehabilitation,断端包帯の目的,,断端包帯（弾性包帯）の主目的：浮腫予防・断端成形（義足装着のため）。疼痛軽減・筋力強化・感染予防は主目的でない,,indexed_official,2020,180,
32-079,32,2024,79,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,脳性麻痺,rehabilitation,脳性麻痺の定義と特徴,,脳性麻痺：出生前〜新生児期の脳障害による永続的な運動障害。痙直型が最多（アテトーゼ型でない）,,indexed_official,2020,180,
32-080,32,2024,80,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,心臓リハビリテーション,rehabilitation,心臓リハビリの禁忌,,心臓リハビリ禁忌：不安定狭心症・重症心不全・急性炎症。NYHA Ⅰ度・冠動脈バイパス術後・末梢動脈閉塞性疾患は適応,,indexed_official,2020,180,
32-081,32,2024,81,共通,臨床医学各論,専門基礎科目,臨床医学各論,関節リウマチ,orthopedics,RAによる変形,,RA特有の変形：MP関節尺側偏位・スワンネック・ボタン穴・環軸椎亜脱臼。翼状肩甲＝前鋸筋麻痺。内反尖足＝脳性麻痺,,indexed_official,2020,180,
32-082,32,2024,82,共通,臨床医学各論,専門基礎科目,臨床医学各論,末梢神経・胸郭出口,orthopedics,胸郭出口症候群と第1肋骨,,胸郭出口症候群（TOS）：前中斜角筋間・肋鎖間（第1肋骨と鎖骨の間）で腕神経叢・鎖骨下動静脈が圧迫,,indexed_official,2020,180,
32-083,32,2024,83,共通,臨床医学各論,専門基礎科目,臨床医学各論,肘関節骨折（症例）,orthopedics,上腕骨顆上骨折の診断,,小児の転倒による肘過伸展損傷→上腕骨顆上骨折。肘部前面の皮下出血・変形が特徴。正中神経合併障害が典型,,indexed_official,2020,180,
32-084,32,2024,84,共通,臨床医学各論,専門基礎科目,臨床医学各論,肘関節骨折（症例）,orthopedics,顆上骨折の合併神経障害,,上腕骨顆上骨折の合併神経：正中神経（示指・中指しびれ・猿手）。腋窩神経は肩関節脱臼。橈骨神経は骨幹部骨折,,indexed_official,2020,180,
32-085,32,2024,85,共通,臨床医学各論,専門基礎科目,臨床医学各論,パーキンソン病（症例）,neurology,パーキンソン病の症候,,パーキンソン病の4大症状：振戦・固縮・無動（寡動）・姿勢反射障害。仮面様顔貌が最もよくみられる。測定障害は小脳疾患,,indexed_official,2020,180,
32-086,32,2024,86,共通,臨床医学各論,専門基礎科目,臨床医学各論,パーキンソン病（症例）,rehabilitation,パーキンソン病の歩行リハビリ,,PD歩行リハ：メトロノーム（聴覚キュー）を使ったリズム訓練が有効。速歩行は転倒リスク増加。継ぎ足歩行は困難,,indexed_official,2020,180,
32-087,32,2024,87,共通,臨床医学各論,専門基礎科目,臨床医学各論,腰椎椎間板ヘルニア（症例）,orthopedics,S1神経根障害の知覚鈍麻部位,,踵挙上不能（腓腹筋）＝S1神経根障害。S1障害：足底の知覚障害・アキレス腱反射消失。L5：足背中央。L4：下腿内側,,indexed_official,2020,180,
32-088,32,2024,88,共通,臨床医学各論,専門基礎科目,臨床医学各論,腰椎椎間板ヘルニア（症例）,orthopedics,腰椎ヘルニアの緊急手術適応,,腰椎ヘルニアで緊急手術：馬尾症候群（膀胱直腸障害→尿閉）。しびれ・アキレス腱反射消失・こむら返りは保存療法,,indexed_official,2020,180,
32-089,32,2024,89,共通,臨床医学各論,専門基礎科目,臨床医学各論,気胸（症例）,pulmonology,自然気胸の初期検査,,若年痩身男性の突然の胸痛＋息切れ→自然気胸を疑う。まず胸部単純X線検査（最初・最も簡便）で肺虚脱を確認,,indexed_official,2020,180,
32-090,32,2024,90,共通,臨床医学各論,専門基礎科目,臨床医学各論,気胸（症例）,pulmonology,緊張性気胸の対応,,気胸で血圧低下・息切れ増悪＝緊張性気胸。緊急胸腔ドレナージが必要。経過観察・鎮痛・輸液では対応不可,,indexed_official,2020,180,
32-091,32,2024,91,共通,東洋医学概論,専門科目,東洋医学概論,未病の概念,tcm-fundamentals,未病と健康・疾病の連続性,,健康と疾病は連続している（未病の概念）。人体と自然の相応は天人相応。心身一体は整体観,,indexed_official,2020,180,
32-092,32,2024,92,共通,東洋医学概論,専門科目,東洋医学概論,神の機能,tcm-fundamentals,狭義の神の働き,,狭義の神の働き：思惟活動・精神活動・外界刺激への情動反応の維持。生命活動の主宰は広義の神,,indexed_official,2020,180,
32-093,32,2024,93,共通,東洋医学概論,専門科目,東洋医学概論,八綱弁証・虚実,tcm-diagnosis,本虚標実証の分類,,本虚標実証：根本は虚（正気虚）で標（症状）は実。肝鬱気滞・肝陽上亢・心肝火旺は実証。肝火犯肺は実の伝変,,indexed_official,2020,180,
32-094,32,2024,94,共通,東洋医学概論,専門科目,東洋医学概論,奇恒の腑と奇経,tcm-fundamentals,奇恒の腑の機能と奇経の関係,,衝脈・任脈・督脈すべてと密接な奇恒の腑＝女子胞（月経を主る）。骨・脈・胆は別の奇恒の腑,,indexed_official,2020,180,
32-095,32,2024,95,共通,東洋医学概論,専門科目,東洋医学概論,経絡系統,tcm-fundamentals,経別・奇経・絡脈の概要,,経別は正経の別行。奇経は表裏関係をもたない。浮絡は皮膚表面の細絡。絡脈が集まったものは孫絡でなく全体系,,indexed_official,2020,180,
32-096,32,2024,96,共通,東洋医学概論,専門科目,東洋医学概論,望診の代替部位,tcm-diagnosis,望診で顔色判断困難時の代替部位,,顔の望診が困難な場合の代替：前腕前面部（顔色に近い皮膚色）。腹部・背部・下腿後面は使わない,,indexed_official,2020,180,
32-097,32,2024,97,共通,東洋医学概論,専門科目,東洋医学概論,経筋の特性,tcm-fundamentals,陰器に集まる経筋,,陰器（生殖器）に集まる経筋は足の三陰経筋。手の三陰・三陽経筋と足の三陽経筋は陰器に集まらない,,indexed_official,2020,180,
32-098,32,2024,98,共通,東洋医学概論,専門科目,東洋医学概論,六淫と症状,tcm-fundamentals,長夏の病邪による症状,,長夏の主気は湿邪。湿邪の症状：下肢の浮腫・身重・下痢。けいれんは風邪。大量発汗・激しい口渇は暑邪,,indexed_official,2020,180,
32-099,32,2024,99,共通,東洋医学概論,専門科目,東洋医学概論,三毒説,tcm-fundamentals,三毒説と病因論,,三毒説：外毒（外邪）・内毒（内傷）・不内外毒（外傷など）。疫癘は外邪に含まれる。心労は内傷。打撲は不内外因,,indexed_official,2020,180,
